id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,price_quote_price_per_night,minimum_nights,number_of_reviews,review_scores_rating,city
808782999957317606,41.90002327228125,12.493681037541684,Entire condo,Entire home/apt,5,2.0,2.0,369.0,369.0,1.0,139,4.88,Rome
809027976028171202,41.88568044871622,12.421736530688475,Entire rental unit,Entire home/apt,4,1.0,2.0,148.67,148.67,3.0,2,5.0,Rome
809083157798877364,41.8755513,12.4688927,Entire home,Entire home/apt,3,1.0,1.0,148.36,148.36,2.0,97,4.77,Rome
809241525830559074,41.90462369999999,12.4994027,Room in hotel,Private room,3,2.0,1.0,138.0,138.0,1.0,5,3.4,Rome
809241948247720422,41.90462369999999,12.4994027,Room in hotel,Private room,4,1.0,1.0,207.0,207.0,1.0,7,4.29,Rome
809360099375912232,41.87263,12.45723,Entire rental unit,Entire home/apt,3,1.0,1.0,108.5,108.5,1.0,108,4.86,Rome
809480451304866423,41.8995786,12.4554448,Entire rental unit,Entire home/apt,2,1.0,1.0,160.0,160.0,3.0,97,4.89,Rome
809858794091936619,41.89739777103909,12.469183338003148,Entire rental unit,Entire home/apt,4,2.0,1.0,195.0,195.0,2.0,212,4.92,Rome
809885861076295066,41.87905612096547,12.483119721990704,Entire rental unit,Entire home/apt,2,1.0,1.0,297.39,297.39,31.0,2,4.0,Rome
810082630445607098,41.8929118,12.4777346,Entire condo,Entire home/apt,2,1.0,1.0,314.0,314.0,2.0,56,4.96,Rome
810146240275911854,41.94130609584805,12.461266866308216,Entire rental unit,Entire home/apt,2,1.0,1.0,107.67,107.67,3.0,40,4.85,Rome
810594604974682258,41.90856,12.47932,Entire rental unit,Entire home/apt,4,2.0,2.0,368.0,368.0,1.0,44,4.89,Rome
810610313253803923,41.908976606792415,12.469958178699017,Entire rental unit,Entire home/apt,4,1.0,2.0,236.0,236.0,2.0,117,4.87,Rome
810625455258780666,41.92473,12.46488,Entire rental unit,Entire home/apt,4,1.0,1.0,131.5,131.5,1.0,125,4.96,Rome
810693165271964713,41.89951279443309,12.500573701365475,Entire rental unit,Entire home/apt,5,2.0,2.0,208.84,208.84,2.0,198,4.94,Rome
810755485631134690,41.88539591250841,12.514730639391797,Entire rental unit,Entire home/apt,12,4.0,4.0,617.0,617.0,1.0,18,4.72,Rome
810785045132122779,41.876628050330005,12.468998283147812,Entire rental unit,Entire home/apt,4,1.0,1.0,98.71,98.71,2.0,149,4.85,Rome
810789457620750077,41.90462369999999,12.4994027,Room in hotel,Private room,2,1.0,1.0,115.0,115.0,1.0,30,4.33,Rome
810803161086630176,41.90462369999999,12.4994027,Room in hotel,Private room,4,2.0,1.0,184.0,184.0,1.0,1,5.0,Rome
810815618625494211,41.87454402711364,12.44811477619628,Entire rental unit,Entire home/apt,3,1.0,1.0,107.27,107.27,2.0,46,4.93,Rome
